ticker,yearReport,lengthReport,category,data
HPG,2020,1,Attribute to parent company (Bn. VND),2285286919162.0
HPG,2020,1,Attribute to parent company YoY (%),0.2690438836881456
HPG,2020,1,Financial Income,108979890041.0
HPG,2020,1,Interest Expenses,-481082874292.0
HPG,2020,1,Net Sales,19232707946043.0
HPG,2020,1,Gross Profit,3763058371654.0
HPG,2020,1,Financial Expenses,-823113673484.0
HPG,2020,1,General & Admin Expenses,-153206137477.0
HPG,2020,1,Operating Profit/Loss,2635683845405.0
HPG,2020,1,Net income from associated companies,0.0
HPG,2020,1,Other Income/Expenses,-131847938898.0
HPG,2020,1,Cost of Sales,-15469649574389.0
HPG,2020,1,Selling Expenses,-257877328351.0
HPG,2020,1,Sales,19451060972271.0
HPG,2020,1,Sales deductions,-218353026228.0
HPG,2020,1,Gain/(loss) from joint ventures,-2157276978.0
HPG,2020,1,Other income,153255313509.0
HPG,2020,1,Net other income/expenses,21407374611.0
HPG,2020,1,Profit before tax,2657091220016.0
HPG,2020,1,Tax For the Year,-352330639968.0
HPG,2020,1,Business income tax - current,-368205805026.0
HPG,2020,1,Business income tax - deferred,15875165058.0
HPG,2020,1,Net Profit For the Year,2304760580048.0
HPG,2020,1,Attributable to parent company,2285286919162.0
HPG,2020,1,EPS_basis,0.0
HPG,2019,4,Minority Interest,0.0
HPG,2019,4,Net Profit/Loss before tax,2284996658014.0
HPG,2019,4,Provision for credit losses,15279555359.0
HPG,2019,4,Revenue YoY (%),0.25285170013276104
HPG,2019,4,Revenue (Bn. VND),18282088440464.0
HPG,2019,4,Attribute to parent company (Bn. VND),1917005836995.0
HPG,2019,4,Attribute to parent company YoY (%),0.08660202586066823
HPG,2019,4,Financial Income,122443551198.0
HPG,2019,4,Interest Expenses,-270226645026.0
HPG,2019,4,Net Sales,17975302675853.0
HPG,2019,4,Gross Profit,2835680642215.0
HPG,2019,4,Financial Expenses,-312174332179.0
HPG,2019,4,General & Admin Expenses,-191052158467.0
HPG,2019,4,Operating Profit/Loss,2268708350442.0
HPG,2019,4,Net income from associated companies,0.0
HPG,2019,4,Other Income/Expenses,-175662950554.0
HPG,2019,4,Cost of Sales,-15139622033638.0
HPG,2019,4,Selling Expenses,-184758038710.0
HPG,2019,4,Sales,18282088440464.0
HPG,2019,4,Sales deductions,-306785764611.0
HPG,2019,4,Gain/(loss) from joint ventures,-1431313615.0
HPG,2019,4,Other income,191951258126.0
HPG,2019,4,Net other income/expenses,16288307572.0
